MUNCIPALITY,2024_POP
NEWARK CITY,"317,303"
JERSEY CITY,"302,824"
PATERSON CITY,"160,463"
LAKEWOOD TWP,"141,985"
ELIZABETH CITY,"140,413"
EDISON TWP,"110,002"
WOODBRIDGE TWP,"106,101"
TOMS RIVER TWP,"99,873"
HAMILTON TWP,"93,911"
TRENTON CITY,"91,193"
CLIFTON CITY,"90,322"
CHERRY HILL TWP,"78,988"
BRICK TWP,"76,629"
BAYONNE CITY,"74,532"
EAST ORANGE CITY,"71,850"
CAMDEN CITY,"71,749"
PASSAIC CITY,"70,722"
OLD BRIDGE TWP,"70,506"
MIDDLETOWN TWP,"66,940"
UNION CITY,"66,918"
GLOUCESTER TWP,"66,896"
UNION TWP,"63,171"
PISCATAWAY TWP,"62,733"
VINELAND CITY,"62,070"
IRVINGTON TWP,"61,838"
NORTH BERGEN TWP,"61,668"
JACKSON TWP,"60,704"
HOBOKEN CITY,"59,149"
NEW BRUNSWICK CITY,"57,487"
PERTH AMBOY CITY,"56,939"
PARSIPPANY-TROY HILLS TWP,"56,729"
PLAINFIELD CITY,"56,507"
BLOOMFIELD TWP,"55,416"
HOWELL TWP,"54,397"
WAYNE TWP,"54,096"
WEST NEW YORK TOWN,"52,975"
EAST BRUNSWICK TWP,"51,086"
MONROE TWP,"50,157"
WEST ORANGE TWP,"49,211"
EVESHAM TWP,"49,050"
EGG HARBOR TWP,"48,538"
SOUTH BRUNSWICK TWP,"47,896"
MOUNT LAUREL TWP,"47,211"
SAYREVILLE BORO,"47,165"
BRIDGEWATER TWP,"46,871"
HACKENSACK CITY,"46,630"
MANCHESTER TWP,"46,252"
HILLSBOROUGH TWP,"45,421"
LINDEN CITY,"45,393"
NORTH BRUNSWICK TWP,"45,323"
BERKELEY TWP,"45,211"
TEANECK TWP,"42,578"
MARLBORO TWP,"41,852"
MONTCLAIR TWP,"41,076"
KEARNY TOWN,"40,866"
MANALAPAN TWP,"40,762"
FORT LEE BORO,"40,566"
WINSLOW TWP,"40,458"
ATLANTIC CITY,"38,959"
BELLEVILLE TWP,"38,672"
GALLOWAY TWP,"38,347"
PENNSAUKEN TWP,"37,665"
FAIR LAWN BORO,"36,489"
EWING TWP,"35,858"
FREEHOLD TWP,"35,800"
CITY OF ORANGE TWP,"35,079"
GARFIELD CITY,"33,530"
LONG BRANCH CITY,"33,214"
DEPTFORD TWP,"32,570"
WILLINGBORO TWP,"32,511"
LAWRENCE TWP,"32,388"
WEST WINDSOR TWP,"32,241"
LIVINGSTON TWP,"32,160"
WESTFIELD TOWN,"32,050"
VOORHEES TWP,"31,473"
PRINCETON,"31,445"
RAHWAY CITY,"30,763"
STAFFORD TWP,"30,585"
NUTLEY TWP,"30,508"
EAST WINDSOR TWP,"30,436"
ENGLEWOOD CITY,"30,221"
LACEY TWP,"30,041"
MOUNT OLIVE TWP,"29,499"
BERGENFIELD BORO,"28,921"
BERNARDS TWP,"28,718"
NEPTUNE TWP,"28,210"
MILLVILLE CITY,"27,838"
BRIDGETON CITY,"27,722"
PEMBERTON TWP,"27,333"
ROCKAWAY TWP,"26,893"
PARAMUS BORO,"26,786"
RANDOLPH TWP,"26,780"
WALL TWP,"26,722"
RIDGEWOOD VILLAGE,"26,701"
LODI BORO,"26,358"
CLIFFSIDE PARK BORO,"26,183"
MAPLEWOOD TWP,"26,127"
CARTERET BORO,"26,003"
BARNEGAT TWP,"25,871"
MAHWAH TWP,"25,806"
MEDFORD TWP,"25,294"
RARITAN TWP,"25,288"
SCOTCH PLAINS TWP,"25,223"
SOUTH PLAINFIELD BORO,"25,062"
WEST MILFORD TWP,"24,990"
PLAINSBORO TWP,"24,558"
CRANFORD TWP,"24,513"
MONTVILLE TWP,"24,456"
BURLINGTON TWP,"24,392"
GLASSBORO BORO,"24,322"
MONTGOMERY TWP,"24,254"
MORRIS TWP,"23,727"
ROXBURY TWP,"23,397"
SUMMIT CITY,"23,102"
NORTH PLAINFIELD BORO,"23,072"
ROSELLE BORO,"23,064"
VERNON TWP,"22,879"
MILLBURN TWP,"22,756"
SECAUCUS TOWN,"22,710"
HILLSIDE TWP,"22,690"
WEST DEPTFORD TWP,"22,653"
LYNDHURST TWP,"22,642"
HARRISON TOWN,"22,182"
LINDENWOLD BORO,"21,919"
MOORESTOWN TWP,"21,796"
LOWER TWP,"21,705"
ELMWOOD PARK BORO,"21,680"
LITTLE EGG HARBOR TWP,"21,587"
PLEASANTVILLE CITY,"20,924"
