CITY,COUNTY,Atlas_Total_Disaster_Declarations,POPULATION,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,County_FEMA_Total,County_FEMA_Per_Capita,County_SVI_2022,blueacres,OUTREACH_TIER,PRIORITY_RANK,Fact1,Fact2,Fact3
Aberdeen Township,Monmouth,6,"19,376",0,,0.00%,,0.00%,0,,0.00%,,0.00%,13,2,15.38%,4,30.77%,0,,0.00%,,0.00%,9,4,44.44%,6,66.67%,0,,0.00%,,0.00%,7,,0.00%,1,14.29%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,129,"<strong>6 assets (18.8%)</strong> sit in flood zones today. That rises to 11 (34.4%), <strong>adding 5 facilities by 2050</strong>.",,
Absecon City,Atlantic,8,"9,249",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,3,42.86%,6,85.71%,0,,0.00%,,0.00%,4,1,25.00%,2,50.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,50974342,186,0.85,,B_UNDER_RADAR,152,"<strong>4 assets (25%)</strong> sit in flood zones today. That rises to 9 (56.2%), <strong>more than doubling exposure and putting 56.2% of the city's public assets at risk by 2050</strong>.",,
Alexandria Township,Hunterdon,6,"4,845",3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,27296680,211,0.04,,C_LOWER_URGENCY,483,"No public assets sit in flood zones today, but <strong>1 (10%) become exposed by 2050</strong>.",,
Allamuchy Township,Warren,8,"5,475",1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,2,66.67%,3,100.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,17216149,157,0.25,,B_UNDER_RADAR,194,"<strong>3 assets (37.5%)</strong> sit in flood zones today. That rises to 6 (75%), <strong>more than doubling exposure and putting 75% of the city's public assets at risk by 2050</strong>.",Allamuchy Township's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Allamuchy Township's <strong>only airport</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.
Allendale Borough,Bergen,8,"6,928",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,1,20.00%,4,80.00%,1,,0.00%,1,100.00%,4,3,75.00%,4,100.00%,0,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,B_UNDER_RADAR,135,"<strong>4 assets (26.7%)</strong> sit in flood zones today. That rises to 10 (66.7%), <strong>more than doubling exposure and putting 66.7% of the city's public assets at risk by 2050</strong>.",,
Allenhurst Borough,Monmouth,6,467,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,327555966,509,0.21,,B_UNDER_RADAR,247,"<strong>2 assets (40%)</strong> sit in flood zones today. That rises to 3 (60%), <strong>pushing over half (60%) of the city's public assets into flood risk by 2050</strong>.",,
Allentown Borough,Monmouth,6,"1,731",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,2,66.67%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,260,"<strong>1 assets (10%)</strong> sit in flood zones today. That rises to 3 (30%), <strong>more than doubling exposure and adding 2 facilities by 2050</strong>.",Allentown Borough's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
Alloway Township,Salem,6,"3,327",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,5624464,87,0.67,,C_LOWER_URGENCY,476,"No public assets sit in flood zones today, but <strong>1 (12.5%) become exposed by 2050</strong>.",,
Alpha Borough,Warren,8,"2,357",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,2,50.00%,2,50.00%,1,,0.00%,,0.00%,3,2,66.67%,2,66.67%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,17216149,157,0.25,,B_UNDER_RADAR,237,"<strong>4 assets (33.3%)</strong> already sit in flood zones, a level that holds through 2050.",,
Alpine Borough,Bergen,8,"1,774",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,477,"<strong>1 assets (12.5%)</strong> already sit in flood zones, a level that holds through 2050.",,
